rssilog_id , rssilog_rssi , rssilog_antenna ,     rssilog_timestamp2     , session_sso 
17935892,-48, 11.0.0.24       , 2016-01-24 19:27:41.167454 ,178
17935881,-114, 11.0.0.24       , 2016-01-24 19:27:34.188581 ,178
17935864,-85, 11.0.0.24       , 2016-01-24 19:27:24.790167 ,178
17935854,-85, 11.0.0.24       , 2016-01-24 19:27:19.778007 ,178
17935847,-96, 11.0.0.24       , 2016-01-24 19:27:14.764368 ,178
17935838,-88, 11.0.0.24       , 2016-01-24 19:27:09.759493 ,178
17935829,-51, 11.0.0.24       , 2016-01-24 19:27:04.106548 ,178
17935813,-96, 11.0.0.24       , 2016-01-24 19:26:54.561969 ,178
17935799,-43, 11.0.0.24       , 2016-01-24 19:26:46.817562 ,178
17935790,-113, 11.0.0.24       , 2016-01-24 19:26:40.894939 ,178
17935775,-111, 11.0.0.24       , 2016-01-24 19:26:31.829333 ,178
17935762,-43, 11.0.0.24       , 2016-01-24 19:26:22.662741 ,178
17935751,-147, 11.0.0.24       , 2016-01-24 19:26:18.307027 ,178
17935718,-97, 11.0.0.24       , 2016-01-24 19:25:59.041831 ,178
17935706,-123, 11.0.0.24       , 2016-01-24 19:25:54.030327 ,178
17935678,-103, 11.0.0.24       , 2016-01-24 19:25:42.055604 ,178
17935649,-89, 11.0.0.24       , 2016-01-24 19:25:33.239223 ,178
17935632,-90, 11.0.0.24       , 2016-01-24 19:25:27.819279 ,178
17935617,-108, 11.0.0.24       , 2016-01-24 19:25:22.80524  ,178
17935593,0, 11.0.0.24       , 2016-01-24 19:25:16.235188 ,178
